A,151315,1
A,202307,2
B,37392,3
A,205863,4
B,34875,5
A,202505,6
A,,6
B,70713,7
A,155078,8
B,125833,9
B,126512,10
A,207499,11
B,112238,12
A,219622,13
A,200898,14
B,123737,15
B,57197,16
B,93188,17
B,120653,18
A,203819,19
A,203742,20
B,140167,21
B,119557,22
B,114533,23
A,203819,24
B,128107,25
A,152513,26
A,204184,27
A,206302,28
B,93638,29
C,42988,30
A,203750,31
A,203007,32
A,39690,33
A,158114,34
B,103681,35
A,39910,36
D,,47
C,39910,37
C,39690,38
A,184109,39
A,155083,40
A,196321,41
,31415,46
C,39690,42
C,41062,43
C,39910,44
B,118221,45
